Comment,Designator,Footprint
150060SS75000,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED15",150060SS75000
150060VS75000,D1,150060VS75000
150080BS75000,D2,150080BS75000
61300211121,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22",61300211121
61300311121,"J26, J27",61300311121
61300411121,J23,61300411121
BQ25895RTWR,U3,BQ25895RTWR
C0402C473K3RECTU,C24,C0402C473K3RECTU
CL05B104KP5NNNC,"C2, C30, C31, C32, C33, C34",CL05B104KP5NNNC
CL10A475KP8NNNC,"C28, C36",CL10A475KP8NNNC
CL10B105KP8NNNC,"C23, C35",CL10B105KP8NNNC
CL21A106KOQNNNE,"C3, C4, C5, C6, C7, C8, C21, C25, C26, C27",CL21A106KOQNNNE
CL31A226KPHNNNE,"C22, C37, C38",CL31A226KPHNNNE
DMN3404L-7,"MOSFET1, MOSFET2, MOSFET3, MOSFET4, MOSFET5, MOSFET6, MOSFET7, MOSFET8, MOSFET9, MOSFET10",DMN3404L-7
ERJ-8ENF1000V,"R6, R10, R14, R21, R27, R34, R37, R40, R43, R46",ERJ-8ENF1000V
ESP32-DEVKITC-32E,U1,ESP32-DEVKITC-32E
GS1M-LTP,"CR2, CR3, CR4, CR5, CR6, CR7, CR8, CR9, CR10, CR11",GS1M-LTP
ISO7760FDWR,"U2, U5",ISO7760FDWR
MF-NSML350/12-2,F1,MF-NSML350/12-2
MIC2876-5.0YMT-TR,U4,MIC2876-5.0YMT-TR
NR6028T2R2N,L8,NR6028T2R2N
PTS636SL43SMTRLFS,SW1,PTS636SL43SMTRLFS
RMCF0402FT130R,R60,RMCF0402FT130R
RMCF1206FT100K,R68,RMCF1206FT100K
RMCF1206FT10K0,"R5, R9, R13, R20, R25, R28, R29, R30, R31, R32, R33, R36, R39, R42, R45, R62, R63",RMCF1206FT10K0
RMCF1206JT2K20,R61,RMCF1206JT2K20
RMCF1206JT330R,"R15, R16, R17, R22, R26, R35, R38, R41, R44, R47, R56, R57, R58, R59",RMCF1206JT330R
RSH2-3.33.3S/H3,PS1,RSH2-3.33.3S/H3
RT1206BRD071ML,R67,RT1206BRD071ML
SC189ZSKTRT,U13,SC189ZSKTRT
SPM6530T-1R5M100,L9,SPM6530T-1R5M100
SRP4020TA-1R0M,L7,SRP4020TA-1R0M
UWT1V101MCL1GS,C1,UWT1V101MCL1GS
