Comment,Designator,Footprint
100uF,C1,UWT1V101MCL1GSPCAP_6.3X7.7-ELECT_NCA-L
0.1uF,C2,CL05B104KP5NNNCCAP_CL05_SAM-L
10uF,C3,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C4,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C5,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C6,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C7,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C8,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C21,CL21A106KOQNNNECAP_CL21_SAM-L
22uF,C22,CL31A226KPHNNNECAP_CL31_SAM-L
1uF,C23,CL10B105KP8NNNCCAP_CL10_SAM-L
47nF,C24,C0402C473K3RECTUCAPC10555_55N_KEM-L
10uF,C25,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C26,CL21A106KOQNNNECAP_CL21_SAM-L
10uF,C27,CL21A106KOQNNNECAP_CL21_SAM-L
4.7uF,C28,CL10A475KP8NNNCAP_CL10_SAM-L
0.1uF,C30,CL05B104KP5NNNCCAP_CL05_SAM-L
0.1uF,C31,CL05B104KP5NNNCCAP_CL05_SAM-L
0.1uF,C32,CL05B104KP5NNNCCAP_CL05_SAM-L
0.1uF,C33,CL05B104KP5NNNCCAP_CL05_SAM-L
0.1uF,C34,CL05B104KP5NNNCCAP_CL05_SAM-L
1uF,C35,CL10B105KP8NNNCCAP_CL10_SAM-L
4.7uF,C36,CL10A475KP8NNNCAP_CL10_SAM-L
22uF,C37,CL31A226KPHNNNECAP_CL31_SAM-L
22uF,C38,CL31A226KPHNNNECAP_CL31_SAM-L
EL_P_D,CR2,GS1M-LTPCR_GS1M-LTP_MCE-L
EL_R_D,CR3,GS1M-LTPCR_GS1M-LTP_MCE-L
EL_M_D,CR4,GS1M-LTPCR_GS1M-LTP_MCE-L
EL_I_D,CR5,GS1M-LTPCR_GS1M-LTP_MCE-L
EL_T_D,CR6,GS1M-LTPCR_GS1M-LTP_MCE-L
VM_P_D,CR7,GS1M-LTPCR_GS1M-LTP_MCE-L
VM_R_D,CR8,GS1M-LTPCR_GS1M-LTP_MCE-L
VM_M_D,CR9,GS1M-LTPCR_GS1M-LTP_MCE-L
VM_I_D,CR10,GS1M-LTPCR_GS1M-LTP_MCE-L
VM_T_D,CR11,GS1M-LTPCR_GS1M-LTP_MCE-L
PWR_ST_LED,D1,WL-SMCW_0603
CON_ST_LED,D2,WL-SMCW_0805
MF-NSML350_12-2,F1,MF-NSML350_12-2
BTR_IN,J1,61300211121CONN_61300211121_WRE
EL_P,J2,61300211121CONN_61300211121_WRE
EL_R,J3,61300211121CONN_61300211121_WRE
EL_M,J4,61300211121CONN_61300211121_WRE
EL_I,J5,61300211121CONN_61300211121_WRE
EL_T,J6,61300211121CONN_61300211121_WRE
FX_P,J7,61300211121CONN_61300211121_WRE
