Designator,Qty,Value,Device,Package,MANUFACTURER_PART_NUMBER,MFR_NAME
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED15",11,EL_P_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,603,150060SS75000,Wurth Electronics
D1,1,PWR_ST_LED,WL-SMCW_0603,603,150060VS75000,Wurth Electronics
D2,1,CON_ST_LED,WL-SMCW_0805,805,150080BS75000,Wurth Electronics
"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22",22,BTR_IN,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
"J26, J27",2,BTR_IN,6130XX11121_61300311121,61300311121,61300311121,Wurth Electronics
J23,1,USBC,6130XX11121_61300411121,61300411121,61300411121,Wurth Electronics
U3,1,BQ25895RTWR,BQ25895RTWR,24-WFQFN Exposed Pad,BQ25895RTWR,Texas Instruments
C24,1,47nF,C0402C473K3RECTUCAPC10555_55N_KEM-L,402,C0402C473K3RECTU,Kemet
"C2, C30, C31, C32, C33, C34",6,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,402,CL05B104KP5NNNC,Samsung
"C28, C36",2,4.7uF,CL10A475KP8NNNCAP_CL10_SAM-L,603,CL10A475KP8NNNC,Samsung
"C23, C35",2,1uF,CL10B105KP8NNNCCAP_CL10_SAM-L,603,CL10B105KP8NNNC,Samsung
"C3, C4, C5, C6, C7, C8, C21, C25, C26, C27",10,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,805,CL21A106KOQNNNE,Samsung
"C22, C37, C38",3,22uF,CL31A226KPHNNNECAP_CL31_SAM-L,1206,CL31A226KPHNNNE,Samsung
"MOSFET1, MOSFET2, MOSFET3, MOSFET4, MOSFET5, MOSFET6, MOSFET7, MOSFET8, MOSFET9, MOSFET10",10,EL_P_MF,DMN3404L-7SOT23_DIO-L,SOT23_DIO-L,DMN3404L-7,Diodes Inc
"R6, R10, R14, R21, R27, R34, R37, R40, R43, R46",10,100,ERJ-8ENF1000VRC1206N_PAN-L,1206,ERJ-8ENF1000V,Panasonic
U1,1,ESP32-DEVKITC-32E,ESP32-DEVKITC-32E,MODULE_ESP32-DEVKITC-32E,ESP32-DEVKITC-32E,Espressif Systems
"CR2, CR3, CR4, CR5, CR6, CR7, CR8, CR9, CR10, CR11",10,EL_P_D,GS1M-LTPCR_GS1M-LTP_MCE-L,"DO-214AC, SMA",GS1M-LTP,MCC
"U2, U5",2,ISO7760FDWRDW0016B_HV,ISO7760FDWRDW0016B_HV,16-SOIC,ISO7760FDWR,Texas Instruments
F1,1,MF-NSML350_12-2,MF-NSML350_12-2,1206,MF-NSML350/12-2,Bourns Inc.
U4,1,MIC2876,MIC2876-5.0YMT-TRUDFN8_2X2_MCH-L,UDFN8_2X2_MCH-L,MIC2876-5.0YMT-TR,Microchip
L8,1,2.2uH,NR6028T2R2NIND_TAIYO_NR6028_TAY,IND_TAIYO_NR6028_TAY,NR6028T2R2N,Taiyo Yuden
SW1,1,CHR_RBT,PTS636SL43SMTRLFSSW_PTS636S-J_CNK,SW_PTS636S-J_CNK,PTS636SL43SMTRLFS,C&K Components
R60,1,130,RMCF0402FT130RSTA_RMCF0402_STP-L,402,RMCF0402FT130R,Stackpole International
R68,1,100k,RMCF1206FT100KSTA_RMCF1206_STP-L,1206,RMCF1206FT100K,Stackpole International
"R5, R9, R13, R20, R25, R28, R29, R30, R31, R32, R33, R36, R39, R42, R45, R62, R63",17,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,1206,RMCF1206FT10K0,Stackpole International
R61,1,2.2k,RMCF1206JT2K20STA_RMCF1206_STP-L,1206,RMCF1206JT2K20,Stackpole International
"R15, R16, R17, R22, R26, R35, R38, R41, R44, R47, R56, R57, R58, R59",14,330,RMCF1206JT330RSTA_RMCF1206_STP-L,1206,RMCF1206JT330R,Stackpole International
PS1,1,RSH2-3.33.3S_H3,RSH2-3.33.3S_H3,RSH23333SH3,RSH2-3.33.3S/H3,RECOM
R67,1,1M,RT1206BRD071MLRC1206N_YAG-L,1206,RT1206BRD071ML,Yageo
U13,1,VM_PWR,SC189ZSKTRTSOT23-5-SC189_SEM-L,"SC-74A, SOT-753",SC189ZSKTRT,Semtech
L9,1,1.5uH,SPM6530T-1R5M100,IND_SPM6530T-1R5M100,SPM6530T-1R5M100,TDK Corporation
L7,1,1uH,SRP4020TA-1R0MIND_SRP4020TA-1R0M_BRN-L,IND_SRP4020TA-1R0M_BRN-L,SRP4020TA-1R0M,Bourns Electronics
C1,1,100uF,UWT1V101MCL1GSPCAP_6.3X7.7-ELECT_NCA-L,"Radial, Can - SMD",UWT1V101MCL1GS,Nichicon
