Part,Value,Device,Package,MANUFACTURER_PART_NUMBER,MFR_NAME
C1,100uF,UWT1V101MCL1GSPCAP_6.3X7.7-ELECT_NCA-L,PCAP_6.3X7.7-ELECT_NCA-L,UWT1V101MCL1GS,Nichicon
C2,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,CL05B104KP5NNNC,Samsung
C3,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C4,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C5,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C6,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C7,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C8,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C21,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C22,22uF,CL31A226KPHNNNECAP_CL31_SAM-L,CAP_CL31_SAM-L,CL31A226KPHNNNE,Samsung
C23,1uF,CL10B105KP8NNNCCAP_CL10_SAM-L,CAP_CL10_SAM-L,CL10B105KP8NNNC,Samsung
C24,47nF,C0402C473K3RECTUCAPC10555_55N_KEM-L,CAPC10555_55N_KEM-L,C0402C473K3RECTU,Kemet
C25,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C26,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C27,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,CL21A106KOQNNNE,Samsung
C28,4.7uF,CL10A475KP8NNNCAP_CL10_SAM-L,CAP_CL10_SAM-L,CL10A475KP8NNN,Samsung
C30,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,CL05B104KP5NNNC,Samsung
C31,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,CL05B104KP5NNNC,Samsung
C32,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,CL05B104KP5NNNC,Samsung
C33,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,CL05B104KP5NNNC,Samsung
C34,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,CL05B104KP5NNNC,Samsung
C35,1uF,CL10B105KP8NNNCCAP_CL10_SAM-L,CAP_CL10_SAM-L,CL10B105KP8NNNC,Samsung
C36,4.7uF,CL10A475KP8NNNCAP_CL10_SAM-L,CAP_CL10_SAM-L,CL10A475KP8NNN,Samsung
C37,22uF,CL31A226KPHNNNECAP_CL31_SAM-L,CAP_CL31_SAM-L,CL31A226KPHNNNE,Samsung
C38,22uF,CL31A226KPHNNNECAP_CL31_SAM-L,CAP_CL31_SAM-L,CL31A226KPHNNNE,Samsung
CR2,EL_P_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR3,EL_R_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR4,EL_M_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR5,EL_I_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR6,EL_T_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR7,VM_P_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR8,VM_R_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR9,VM_M_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR10,VM_I_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
CR11,VM_T_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,GS1M-LTP,MCC
D1,PWR_ST_LED,WL-SMCW_0603,WL-SMCW_0603,150060VS75000,Wurth Electronics
D2,CON_ST_LED,WL-SMCW_0805,WL-SMCW_0805,150080BS75000,Wurth Electronics
F1,MF-NSML350_12-2,MF-NSML350_12-2,FUSC3216X140N,MF-NSML350/12-2,Bourns Inc.
J1,BTR_IN,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J2,EL_P,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J3,EL_R,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J4,EL_M,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J5,EL_I,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J6,EL_T,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J7,FX_P,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J8,FX_R,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J9,FX_M,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J10,FX_I,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J11,FX_T,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J12,VM_P,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J13,VM_R,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J14,VM_M,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J15,VM_I,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J16,VM_T,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J17,BTN_X,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J18,BTN_Y,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J19,BTN_PWR,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J20,BTN_ACTN,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J21,CONNECTION_STATUS,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J22,POWER_STATUS,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,61300211121,Wurth Electronics
J23,USBC,6130XX11121_61300411121,61300411121,61300411121,Wurth Electronics
J26,BTR_IN,6130XX11121_61300311121,61300311121,61300311121,Wurth Electronics
J27,BTR_OUT,6130XX11121_61300311121,61300311121,61300311121,Wurth Electronics
L7,1uH,SRP4020TA-1R0MIND_SRP4020TA-1R0M_BRN-L,IND_SRP4020TA-1R0M_BRN-L,SRP4020TA-1R0M,Bourns Electronics
L8,2.2uH,NR6028T2R2NIND_TAIYO_NR6028_TAY,IND_TAIYO_NR6028_TAY,NR6028T2R2N,Taiyo Yuden
L9,1.5uH,SPM6530T-1R5M100,IND_SPM6530T-1R5M100,SPM6530T-1R5M100,TDK Corporation
LED1,EL_P_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED2,EL_R_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED3,EL_M_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED4,EL_I_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED5,EL_T_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED6,VM_P_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED7,VM_R_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED8,VM_M_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
LED9,VM_I_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,150060SS75000,Wurth Electronics
