Designator,X,Y,Rotation,Value,Package,Layer
C1,121.22,12.34,90,100uF,PCAP_6.3X7.7-ELECT_NCA-L,Top
C2,116.85,12.53,90,0.1uF,CAP_CL05_SAM-L,Top
C21,78.43,29.52,90,10uF,CAP_CL21_SAM-L,Top
C22,75.63,32.8,0,22uF,CAP_CL31_SAM-L,Top
C23,73.65,17.35,90,1uF,CAP_CL10_SAM-L,Top
C24,77.64,18.97,180,47nF,CAPC10555_55N_KEM-L,Top
C25,83.78,16.38,90,10uF,CAP_CL21_SAM-L,Top
C26,85.68,16.38,90,10uF,CAP_CL21_SAM-L,Top
C27,80.8,12.78,270,10uF,CAP_CL21_SAM-L,Top
C28,75.21,18.72,180,4.7uF,CAP_CL10_SAM-L,Top
C3,78.69,33.02,270,10uF,CAP_CL21_SAM-L,Top
C30,78.6,58.37,270,0.1uF,CAP_CL05_SAM-L,Top
C31,72.97,61.04,90,0.1uF,CAP_CL05_SAM-L,Top
C32,67.84,61.04,270,0.1uF,CAP_CL05_SAM-L,Top
C33,62.51,60.78,270,0.1uF,CAP_CL05_SAM-L,Top
C34,62.89,54.94,270,0.1uF,CAP_CL05_SAM-L,Top
C35,116.99,80.77,90,1uF,CAP_CL10_SAM-L,Top
C36,118.26,80.65,90,4.7uF,CAP_CL10_SAM-L,Top
C37,113.37,76.26,90,22uF,CAP_CL31_SAM-L,Top
C38,111.09,76.26,90,22uF,CAP_CL31_SAM-L,Top
C4,68.58,33.53,270,10uF,CAP_CL21_SAM-L,Top
C5,110.24,59.18,180,10uF,CAP_CL21_SAM-L,Top
C6,78.63,60.66,90,10uF,CAP_CL21_SAM-L,Top
C7,80.15,81.4,90,10uF,CAP_CL21_SAM-L,Top
C8,118.62,59.18,180,10uF,CAP_CL21_SAM-L,Top
CR10,62.07,19.73,0,VM_I_D,CR_GS1M-LTP_MCE-L,Top
CR11,68.95,19.75,180,VM_T_D,CR_GS1M-LTP_MCE-L,Top
CR2,119.33,72.02,90,EL_P_D,CR_GS1M-LTP_MCE-L,Top
CR3,119.34,64.68,90,EL_R_D,CR_GS1M-LTP_MCE-L,Top
CR4,126.71,53.12,90,EL_M_D,CR_GS1M-LTP_MCE-L,Top
CR5,120.66,42.86,90,EL_I_D,CR_GS1M-LTP_MCE-L,Top
CR6,120.52,36.3,90,EL_T_D,CR_GS1M-LTP_MCE-L,Top
CR7,69.48,52.87,90,VM_P_D,CR_GS1M-LTP_MCE-L,Top
CR8,64.67,46.84,90,VM_R_D,CR_GS1M-LTP_MCE-L,Top
CR9,62.18,35.48,180,VM_M_D,CR_GS1M-LTP_MCE-L,Top
D1,124.17,24.57,180,PWR_ST_LED,WL-SMCW_0603,Top
D2,114.64,23.98,180,CON_ST_LED,WL-SMCW_0805,Top
F1,107.12,18.45,0,MF-NSML350_12-2,FUSC3216X140N,Top
L7,71.69,29.21,270,1uH,IND_SRP4020TA-1R0M_BRN-L,Top
L8,83.19,21.06,90,2.2uH,IND_TAIYO_NR6028_TAY,Top
L9,123.66,79.03,270,1.5uH,IND_SPM6530T-1R5M100,Top
LED1,111.06,68.57,180,EL_P_LED,LED_WL-SMCW-SMT_0603_WRE-L,Top
