Part,Value,Device,Package,Description,BUTTON_ACTION,BUTTON_POWER,BUTTON_X,BUTTON_Y,CONNECTION_STATUS,COPYRIGHT,DATASHEET-URL,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,ELECTRO_INDEX,ELECTRO_MIDDLE,ELECTRO_PINKY,ELECTRO_RING,ELECTRO_THUMB,FLEX_INDEX,FLEX_MIDDLE,FLEX_PINKY,FLEX_RING,FLEX_THUMB,GENDER,HEIGHT,IR,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MFR_NAME,MIC2876,MOUNT,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,PACKAGING,PART-NUMBER,PARTREV,PINS,PITCH,POWER_STATUS,REFDES,ROWS,STANDARD,TYPE,VALUE,VIBRATOR_INDEX,VIBRATOR_MIDDLE,VIBRATOR_PINKY,VIBRATOR_RING,VIBRATOR_THUMB
C1,100uF,UWT1V101MCL1GSPCAP_6.3X7.7-ELECT_NCA-L,PCAP_6.3X7.7-ELECT_NCA-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,UWT1V101MCL1GS,,Nichicon,,,,,,,,,,,,,,,,,,,,
C2,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL05B104KP5NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C3,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C4,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C5,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C6,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C7,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C8,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C21,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C22,22uF,CL31A226KPHNNNECAP_CL31_SAM-L,CAP_CL31_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL31A226KPHNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C23,1uF,CL10B105KP8NNNCCAP_CL10_SAM-L,CAP_CL10_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL10B105KP8NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C24,47nF,C0402C473K3RECTUCAPC10555_55N_KEM-L,CAPC10555_55N_KEM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,C0402C473K3RECTU,,Kemet,,,,,,,,,,,,,,,,,,,,
C25,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C26,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C27,10uF,CL21A106KOQNNNECAP_CL21_SAM-L,CAP_CL21_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL21A106KOQNNNE,,Samsung,,,,,,,,,,,,,,,,,,,,
C28,4.7uF,CL10A475KP8NNNCAP_CL10_SAM-L,CAP_CL10_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL10A475KP8NNN,,Samsung,,,,,,,,,,,,,,,,,,,,
C30,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL05B104KP5NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C31,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL05B104KP5NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
C32,0.1uF,CL05B104KP5NNNCCAP_CL05_SAM-L,CAP_CL05_SAM-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,CL05B104KP5NNNC,,Samsung,,,,,,,,,,,,,,,,,,,,
