Name,X,Y,Angle,Value,Package
C1,121.22,12.34,90.00,100uF,PCAP_6.3X7.7-ELECT_NCA-L
C2,116.85,12.53,90.00,0.1uF,CAP_CL05_SAM-L
C21,78.43,29.52,90.00,10uF,CAP_CL21_SAM-L
C22,75.63,32.80,0.00,22uF,CAP_CL31_SAM-L
C23,73.65,17.35,90.00,1uF,CAP_CL10_SAM-L
C24,77.64,18.97,180.00,47nF,CAPC10555_55N_KEM-L
C25,83.78,16.38,90.00,10uF,CAP_CL21_SAM-L
C26,85.68,16.38,90.00,10uF,CAP_CL21_SAM-L
C27,80.80,12.78,270.00,10uF,CAP_CL21_SAM-L
C28,75.21,18.72,180.00,4.7uF,CAP_CL10_SAM-L
C3,78.69,33.02,270.00,10uF,CAP_CL21_SAM-L
C30,78.60,58.37,270.00,0.1uF,CAP_CL05_SAM-L
C31,72.97,61.04,90.00,0.1uF,CAP_CL05_SAM-L
C32,67.84,61.04,270.00,0.1uF,CAP_CL05_SAM-L
C33,62.51,60.78,270.00,0.1uF,CAP_CL05_SAM-L
C34,62.89,54.94,270.00,0.1uF,CAP_CL05_SAM-L
C35,116.99,80.77,90.00,1uF,CAP_CL10_SAM-L
C36,118.26,80.65,90.00,4.7uF,CAP_CL10_SAM-L
C37,113.37,76.26,90.00,22uF,CAP_CL31_SAM-L
C38,111.09,76.26,90.00,22uF,CAP_CL31_SAM-L
C4,68.58,33.53,270.00,10uF,CAP_CL21_SAM-L
C5,110.24,59.18,180.00,10uF,CAP_CL21_SAM-L
C6,78.63,60.66,90.00,10uF,CAP_CL21_SAM-L
C7,80.15,81.40,90.00,10uF,CAP_CL21_SAM-L
C8,118.62,59.18,180.00,10uF,CAP_CL21_SAM-L
CR10,62.07,19.73,0.00,VM_I_D,CR_GS1M-LTP_MCE-L
CR11,68.95,19.75,180.00,VM_T_D,CR_GS1M-LTP_MCE-L
CR2,119.33,72.02,90.00,EL_P_D,CR_GS1M-LTP_MCE-L
CR3,119.34,64.68,90.00,EL_R_D,CR_GS1M-LTP_MCE-L
CR4,126.71,53.12,90.00,EL_M_D,CR_GS1M-LTP_MCE-L
CR5,120.66,42.86,90.00,EL_I_D,CR_GS1M-LTP_MCE-L
CR6,120.52,36.30,90.00,EL_T_D,CR_GS1M-LTP_MCE-L
CR7,69.48,52.87,90.00,VM_P_D,CR_GS1M-LTP_MCE-L
CR8,64.67,46.84,90.00,VM_R_D,CR_GS1M-LTP_MCE-L
CR9,62.18,35.48,180.00,VM_M_D,CR_GS1M-LTP_MCE-L
D1,124.17,24.57,180.00,PWR_ST_LED,WL-SMCW_0603
D2,114.64,23.98,180.00,CON_ST_LED,WL-SMCW_0805
F1,107.12,18.45,0.00,MF-NSML350_12-2,FUSC3216X140N
L7,71.69,29.21,270.00,1uH,IND_SRP4020TA-1R0M_BRN-L
L8,83.19,21.06,90.00,2.2uH,IND_TAIYO_NR6028_TAY
L9,123.66,79.03,270.00,1.5uH,IND_SPM6530T-1R5M100
LED1,111.06,68.57,180.00,EL_P_LED,LED_WL-SMCW-SMT_0603_WRE-L
LED10,70.43,24.07,90.00,VM_T_LED,LED_WL-SMCW-SMT_0603_WRE-L
LED15,73.32,8.56,180.00,CHR_LED,LED_WL-SMCW-SMT_0603_WRE-L
LED2,111.11,61.54,180.00,EL_R_LED,LED_WL-SMCW-SMT_0603_WRE-L
LED3,122.61,55.38,0.00,EL_M_LED,LED_WL-SMCW-SMT_0603_WRE-L
LED4,112.26,40.16,180.00,EL_I_LED,LED_WL-SMCW-SMT_0603_WRE-L
